2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,66,717,762,545,763,882,915,766,0,0,0,0,0,0,0,0
2144,2866,3907,3295,3132,1612,516,491,165,0,0,0,0,0,0,0,0,0,0,0
45,65,270,114,29,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,56,75,90,120,97,172,74,0,0,0,0,0,0,0
0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,0
0,0,0,0,0,0,0,0,0,0,1,4,13,10,23,13,0,0,0,0
0,0,0,0,3,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,15,16,10,20,31,69,39,50,39,38,0,0,0,0,0,0
0,2,32,51,50,43,48,34,25,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,268,744,652,497,473,377,466,339,140
0,0,0,0,0,0,0,0,0,0,0,0,6,31,21,312,383,373,286,215
0,3,0,0,0,0,1,0,95,517,813,1104,1218,1407,564,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,53,42,28,29,35
0,2,13,106,116,68,84,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25,103,445,548,483,503,0,0,0,0,0
676,1392,1427,1849,159,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0
524,564,834,1486,2763,3019,3206,3242,3721,6026,2084,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12,116,174,734,800,480,427,206,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,50,73,118,143
0,36,378,706,1444,1592,1734,1801,2521,3188,3977,4797,19,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,19,103,114,518,497,9,47,53,62,69,184
679,1159,1023,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,149,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,12,45,61,4,0,0,0,0,0,0,0,0,0
150,326,404,667,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
