,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
0,32.0,91.0,592.0,292667.0,624.0,2.0,2.0,24.0,5.0,1652.0,744.9869706840391,3164.0,1750.0,3.0,5.0,660.0,0.0,2.0,0.0,4.0,0.0,4.0,2230.0,121.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,104.0,0.0,0.0,19.0,27.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32.0,91.0,570.0,236447.0,624.0,2.0,2.0,24.0,5.0,1652.0,744.9869706840391,3164.0,1750.0,3.0,5.0,725.0,0.0,2.0,0.0,4.0,0.0,4.0,2230.0,121.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,104.0,0.0,0.0,0.0,1.0,2.0,66.0,717.0,762.0,545.0,763.0,882.0,915.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,32.0,91.0,249.0,296661.0,624.0,2.0,2.0,15.0,0.0,1652.0,744.9869706840391,3164.0,1750.0,3.0,4.0,710.0,0.0,2.0,0.0,4.0,0.0,4.0,2230.0,121.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,104.0,0.0,2144.0,2866.0,3907.0,3295.0,3132.0,1612.0,516.0,491.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,32.0,91.0,598.0,334768.0,624.0,2.0,2.0,24.0,5.0,1652.0,744.9869706840391,3164.0,1750.0,3.0,5.0,725.0,1.0,2.0,0.0,4.0,0.0,1.0,2230.0,121.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,104.0,0.0,45.0,65.0,270.0,114.0,29.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,32.0,91.0,577.0,272223.0,624.0,2.0,2.0,24.0,5.0,1652.0,744.9869706840391,3164.0,1750.0,3.0,5.0,725.0,0.0,2.0,0.0,4.0,0.0,4.0,2230.0,121.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,75.0,90.0,120.0,97.0,172.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,32.0,91.0,583.0,314815.0,624.0,2.0,2.0,24.0,5.0,1652.0,744.9869706840391,3164.0,1750.0,3.0,5.0,710.0,1.0,2.0,0.0,4.0,0.0,1.0,2230.0,121.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,104.0,0.0,0.0,223.0,777.0,409.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,102.0,229.0,279650.0,799.0,3.0,4.0,28.0,5.0,1541.0,1081.0,3429.0,1560.0,3.0,5.0,218329.6451048951,1.0,6.0,0.0,5.0,0.0,4.0,2348.0,123.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,6.0,102.0,479.0,351832.0,799.0,3.0,4.0,28.0,5.0,1541.0,1081.0,3429.0,1560.0,3.0,5.0,218329.6451048951,1.0,6.0,0.0,5.0,0.0,4.0,2348.0,123.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,0.0
8,6.0,102.0,183.0,333419.0,799.0,3.0,4.0,28.0,5.0,1541.0,1081.0,3429.0,1560.0,3.0,5.0,218329.6451048951,1.0,6.0,0.0,5.0,0.0,4.0,2348.0,123.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,13.0,10.0,23.0,13.0,0.0,0.0,0.0,0.0
9,6.0,102.0,411.0,362000.0,799.0,3.0,4.0,28.0,5.0,1541.0,1081.0,3429.0,1560.0,3.0,5.0,218329.6451048951,1.0,6.0,0.0,5.0,0.0,4.0,2348.0,123.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,104.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
