,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
0,Tata,Nano Genx,Xt,292667.0,624.0,2.0,2.0,24.0,Petrol,1652.0,744.9869706840391,3164.0,1750.0,Hatchback,5.0,660.0,4,38,Analog,4.0,Fabric,Manual,2230.0,4 B X 12,CD Player with USB & Aux-in,2,Yes,Yes,,,,,0,0.0,19.0,27.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Tata,Nano Genx,Xe,236447.0,624.0,2.0,2.0,24.0,Petrol,1652.0,744.9869706840391,3164.0,1750.0,Hatchback,5.0,725.0,4,38,Analog,4.0,Fabric,Manual,2230.0,4 B X 12,Not on offer,2,,,,,,,0,0.0,0.0,1.0,2.0,66.0,717.0,762.0,545.0,763.0,882.0,915.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Tata,Nano Genx,Emax Xm,296661.0,624.0,2.0,2.0,15.0,CNG,1652.0,744.9869706840391,3164.0,1750.0,Hatchback,4.0,710.0,4,38,Analog,4.0,Fabric,Manual,2230.0,4 B X 12,Not on offer,2,,,,,,,0,2144.0,2866.0,3907.0,3295.0,3132.0,1612.0,516.0,491.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Tata,Nano Genx,Xta,334768.0,624.0,2.0,2.0,24.0,Petrol,1652.0,744.9869706840391,3164.0,1750.0,Hatchback,5.0,725.0,5,38,Analog,4.0,Fabric,Automatic,2230.0,4 B X 12,CD Player with USB & Aux-in,2,Yes,Yes,,,,,0,45.0,65.0,270.0,114.0,29.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tata,Nano Genx,Xm,272223.0,624.0,2.0,2.0,24.0,Petrol,1652.0,744.9869706840391,3164.0,1750.0,Hatchback,5.0,725.0,4,38,Analog,4.0,Fabric,Manual,2230.0,4 B X 12,Not on offer,2,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,75.0,90.0,120.0,97.0,172.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Tata,Nano Genx,Xma,314815.0,624.0,2.0,2.0,24.0,Petrol,1652.0,744.9869706840391,3164.0,1750.0,Hatchback,5.0,710.0,5,38,Analog,4.0,Fabric,Automatic,2230.0,4 B X 12,Not on offer,2,,,,,,,0,0.0,223.0,777.0,409.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Datsun,Redi-Go,D,279650.0,799.0,3.0,4.0,28.0,Petrol,1541.0,1081.0,3429.0,1560.0,Hatchback,5.0,218329.6451048951,5,54,Analog,5.0,Fabric,Manual,2348.0,80/155R13,Not on offer,2,,,,,Yes,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,Datsun,Redi-Go,T,351832.0,799.0,3.0,4.0,28.0,Petrol,1541.0,1081.0,3429.0,1560.0,Hatchback,5.0,218329.6451048951,5,54,Analog,5.0,Fabric,Manual,2348.0,80/155R13,CD Player with USB & Aux-in,2,,Yes,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,0.0
8,Datsun,Redi-Go,A,333419.0,799.0,3.0,4.0,28.0,Petrol,1541.0,1081.0,3429.0,1560.0,Hatchback,5.0,218329.6451048951,5,54,Analog,5.0,Fabric,Manual,2348.0,80/155R13,Not on offer,2,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,13.0,10.0,23.0,13.0,0.0,0.0,0.0,0.0
9,Datsun,Redi-Go,S,362000.0,799.0,3.0,4.0,28.0,Petrol,1541.0,1081.0,3429.0,1560.0,Hatchback,5.0,218329.6451048951,5,54,Analog,5.0,Fabric,Manual,2348.0,80/155R13,CD Player with USB & Aux-in,2,,Yes,,,,,1,0.0,0.0,0.0,0.0,3.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Datsun,Redi-Go,1.0 S,390000.0,999.0,3.0,4.0,28.0,Petrol,1541.0,744.9869706840391,3429.0,1560.0,Hatchback,5.0,218329.6451048951,5,68,Analog,5.0,Fabric,Manual,2348.0,80/155R13,CD Player with USB & Aux-in,2,,Yes,,,,,0,0.0,0.0,0.0,6.0,15.0,16.0,10.0,20.0,31.0,69.0,39.0,50.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Datsun,Redi-Go,1.0 S Amt,437065.0,999.0,3.0,4.0,28.0,Petrol,1541.0,744.9869706840391,3429.0,1560.0,Hatchback,5.0,218329.6451048951,5,68,Analog,5.0,Fabric,Automatic,2348.0,155/80R13,CD Player with USB & Aux-in,2,,Yes,,,,,1,0.0,2.0,32.0,51.0,50.0,43.0,48.0,34.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Renault,Kwid,Rxe 0.8,353290.0,799.0,3.0,4.0,28.0,Petrol,1490.0,744.9869706840391,3731.0,1579.0,Hatchback,5.0,669.0,6,54,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,Not on offer,2,,,,,Yes,Driver frontal airbag,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
