,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
0,Tata,Nano Genx,Xt,292667,624.0,2.0,2.0,24.0,Petrol,1652.0,,3164,1750.0,Hatchback,5.0,660.0,4,38,Analog,4.0,Fabric,Manual,2230.0,4 B X 12,CD Player with USB & Aux-in,2,Yes,Yes,,,,,0,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Tata,Nano Genx,Xe,236447,624.0,2.0,2.0,24.0,Petrol,1652.0,,3164,1750.0,Hatchback,5.0,725.0,4,38,Analog,4.0,Fabric,Manual,2230.0,4 B X 12,Not on offer,2,,,,,,,0,0,0,1,2,66,717,762,545,763,882,915,766,0,0,0,0,0,0,0,0
2,Tata,Nano Genx,Emax Xm,296661,624.0,2.0,2.0,15.0,CNG,1652.0,,3164,1750.0,Hatchback,4.0,710.0,4,38,Analog,4.0,Fabric,Manual,2230.0,4 B X 12,Not on offer,2,,,,,,,0,2144,2866,3907,3295,3132,1612,516,491,165,0,0,0,0,0,0,0,0,0,0,0
3,Tata,Nano Genx,Xta,334768,624.0,2.0,2.0,24.0,Petrol,1652.0,,3164,1750.0,Hatchback,5.0,725.0,5,38,Analog,4.0,Fabric,Automatic,2230.0,4 B X 12,CD Player with USB & Aux-in,2,Yes,Yes,,,,,0,45,65,270,114,29,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Tata,Nano Genx,Xm,272223,624.0,2.0,2.0,24.0,Petrol,1652.0,,3164,1750.0,Hatchback,5.0,725.0,4,38,Analog,4.0,Fabric,Manual,2230.0,4 B X 12,Not on offer,2,,,,,,,0,0,0,0,0,0,0,56,75,90,120,97,172,74,0,0,0,0,0,0,0
5,Tata,Nano Genx,Xma,314815,624.0,2.0,2.0,24.0,Petrol,1652.0,,3164,1750.0,Hatchback,5.0,710.0,5,38,Analog,4.0,Fabric,Automatic,2230.0,4 B X 12,Not on offer,2,,,,,,,0,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Datsun,Redi-Go,D,279650,799.0,3.0,4.0,28.0,Petrol,1541.0,1081.0,3429,1560.0,Hatchback,5.0,,5,54,Analog,5.0,Fabric,Manual,2348.0,80/155R13,Not on offer,2,,,,,Yes,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
7,Datsun,Redi-Go,T,351832,799.0,3.0,4.0,28.0,Petrol,1541.0,1081.0,3429,1560.0,Hatchback,5.0,,5,54,Analog,5.0,Fabric,Manual,2348.0,80/155R13,CD Player with USB & Aux-in,2,,Yes,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,0
8,Datsun,Redi-Go,A,333419,799.0,3.0,4.0,28.0,Petrol,1541.0,1081.0,3429,1560.0,Hatchback,5.0,,5,54,Analog,5.0,Fabric,Manual,2348.0,80/155R13,Not on offer,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,4,13,10,23,13,0,0,0,0
9,Datsun,Redi-Go,S,362000,799.0,3.0,4.0,28.0,Petrol,1541.0,1081.0,3429,1560.0,Hatchback,5.0,,5,54,Analog,5.0,Fabric,Manual,2348.0,80/155R13,CD Player with USB & Aux-in,2,,Yes,,,,,1,0,0,0,0,3,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0
10,Datsun,Redi-Go,1.0 S,390000,999.0,3.0,4.0,28.0,Petrol,1541.0,,3429,1560.0,Hatchback,5.0,,5,68,Analog,5.0,Fabric,Manual,2348.0,80/155R13,CD Player with USB & Aux-in,2,,Yes,,,,,0,0,0,0,6,15,16,10,20,31,69,39,50,39,38,0,0,0,0,0,0
11,Datsun,Redi-Go,1.0 S Amt,437065,999.0,3.0,4.0,28.0,Petrol,1541.0,,3429,1560.0,Hatchback,5.0,,5,68,Analog,5.0,Fabric,Automatic,2348.0,155/80R13,CD Player with USB & Aux-in,2,,Yes,,,,,1,0,2,32,51,50,43,48,34,25,0,0,0,0,0,0,0,0,0,0,0
12,Renault,Kwid,Rxe 0.8,353290,799.0,3.0,4.0,28.0,Petrol,1490.0,,3731,1579.0,Hatchback,5.0,669.0,6,54,Digital,5.0,Fabric,Manual,2422.0,165/70 R14,Not on offer,2,,,,,Yes,Driver frontal airbag,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0
